,date,actions
0,2019-01-02,[100]
1,2019-01-03,[100]
2,2019-01-04,[100]
3,2019-01-07,[100]
4,2019-01-08,[100]
5,2019-01-09,[100]
6,2019-01-10,[100]
7,2019-01-11,[100]
8,2019-01-14,[100]
9,2019-01-15,[100]
10,2019-01-16,[100]
11,2019-01-17,[100]
12,2019-01-18,[100]
13,2019-01-22,[100]
14,2019-01-23,[100]
15,2019-01-24,[100]
16,2019-01-25,[100]
17,2019-01-28,[100]
18,2019-01-29,[100]
19,2019-01-30,[100]
20,2019-01-31,[100]
21,2019-02-01,[100]
22,2019-02-04,[100]
23,2019-02-05,[100]
24,2019-02-06,[100]
25,2019-02-07,[100]
26,2019-02-08,[100]
27,2019-02-11,[100]
28,2019-02-12,[100]
29,2019-02-13,[100]
30,2019-02-14,[100]
31,2019-02-15,[100]
32,2019-02-19,[100]
33,2019-02-20,[100]
34,2019-02-21,[100]
35,2019-02-22,[100]
36,2019-02-25,[100]
37,2019-02-26,[100]
38,2019-02-27,[100]
39,2019-02-28,[100]
40,2019-03-01,[100]
41,2019-03-04,[100]
42,2019-03-05,[100]
43,2019-03-06,[100]
44,2019-03-07,[100]
45,2019-03-08,[100]
46,2019-03-11,[100]
47,2019-03-12,[100]
48,2019-03-13,[100]
49,2019-03-14,[100]
50,2019-03-15,[100]
51,2019-03-18,[100]
52,2019-03-19,[100]
53,2019-03-20,[100]
54,2019-03-21,[100]
55,2019-03-22,[100]
56,2019-03-25,[100]
57,2019-03-26,[100]
58,2019-03-27,[100]
59,2019-03-28,[100]
60,2019-03-29,[100]
61,2019-04-01,[100]
62,2019-04-02,[100]
63,2019-04-03,[100]
64,2019-04-04,[100]
65,2019-04-05,[100]
66,2019-04-08,[100]
67,2019-04-09,[100]
68,2019-04-10,[100]
69,2019-04-11,[100]
70,2019-04-12,[100]
71,2019-04-15,[100]
72,2019-04-16,[100]
73,2019-04-17,[100]
74,2019-04-18,[100]
75,2019-04-22,[100]
76,2019-04-23,[100]
77,2019-04-24,[100]
78,2019-04-25,[100]
79,2019-04-26,[100]
80,2019-04-29,[100]
81,2019-04-30,[100]
82,2019-05-01,[100]
83,2019-05-02,[100]
84,2019-05-03,[100]
85,2019-05-06,[100]
86,2019-05-07,[100]
87,2019-05-08,[100]
